日期,總值,現金,持股檔數
2026-07-11,50000,50000,0
2026-07-13,50000,50000,0
2026-07-14,49960,40025,2
2026-07-15,50534,30081,4
2026-07-16,50284,20183,6
2026-07-17,48701,38139,2
2026-07-20,48415,42822,1
2026-07-21,48328,32849,3
2026-07-22,48110,32767,3
2026-07-23,47640,32767,3
2026-07-24,46731,46731,0
2026-07-27,46731,46731,0
2026-07-28,46711,41717,1
2026-07-29,46725,36708,2
2026-07-30,46674,36708,2
2026-07-31,46730,36708,2
2026-08-03,46572,41599,1
2026-08-04,46306,41398,1
2026-08-05,46758,36947,2
2026-08-06,47005,31928,3
2026-08-07,47196,31928,3
2026-08-10,47356,31928,3
