日期,動作,代號,價格,股數,金額,原因
2026-07-14,買進,2103,25.0,200,5020,系統進場訊號（重返進場）
2026-07-14,買進,2466,105.0,47,4955,系統進場訊號（重返進場）
2026-07-15,買進,1326,70.8,70,4976,系統進場訊號（重返進場）
2026-07-15,買進,3033,55.6,89,4968,系統進場訊號（重返進場）
2026-07-16,買進,8150,122.5,40,4920,系統進場訊號（重返進場）
2026-07-16,買進,6574,134.0,37,4978,系統進場訊號（重返進場）
2026-07-17,賣出,2103,23.5,200,4666,出場:盤後破固定停損價(23.50)，破(24.25)
2026-07-17,賣出,1326,66.1,70,4593,出場:盤後破固定停損價(66.10)，破(68.68)
2026-07-17,賣出,3033,48.8,89,4310,出場:盤後破固定停損價(48.80)，破(53.93)
2026-07-17,賣出,8150,110.5,40,4387,出場:盤後破固定停損價(110.50)，破(118.83)
2026-07-20,賣出,6574,127.5,37,4683,出場:盤後破固定停損價(127.50)，破(129.98)
2026-07-21,買進,1810,31.05,161,5019,系統進場訊號（重返進場）
2026-07-21,買進,2634,71.5,69,4954,系統進場訊號（重返進場）
2026-07-22,賣出,2466,115.5,47,5392,出場:盤後跌破箱頂下緣5%緩衝價(115.50)，破(115.90)
2026-07-22,賣出,2634,64.4000015258789,69,4410,出場:盤後破固定停損價(64.40)，破(69.36)
2026-07-22,買進,1326,70.5999984741211,70,4962,系統進場訊號（重返進場）
2026-07-22,買進,4556,132.5,37,4922,系統進場訊號（重返進場）
2026-07-24,賣出,1810,28.6,161,4571,出場:盤後破固定停損價(28.60)，破(30.12)
2026-07-24,賣出,1326,67.5,70,4691,出場:盤後破固定停損價(67.50)，破(68.48)
2026-07-24,賣出,4556,128.0,37,4702,出場:盤後破固定停損價(128.00)，破(128.53)
2026-07-28,買進,2908,22.0,227,5014,系統進場訊號（重返進場）
2026-07-29,買進,2849,15.35,325,5009,系統進場訊號（重返進場）
2026-08-03,賣出,2908,21.7,227,4891,出場:盤後破正宗大箱底(21.70)，破(21.95)
2026-08-04,賣出,2849,14.65,325,4727,出場:盤後破固定停損價(14.65)，破(14.89)
2026-08-04,買進,3605,92.6,53,4928,系統進場訊號（重返進場）
2026-08-05,買進,2395,633.0,7,4451,系統進場訊號（重返進場）
2026-08-06,買進,2006,86.2,58,5020,系統進場訊號（重返進場）
2026-08-12,賣出,2006,83.8,58,4826,出場:盤後跌破箱頂下緣5%緩衝價(83.80)，破(84.08)
2026-08-13,買進,6214,156.5,31,4872,系統進場訊號（重返進場）
2026-08-17,買進,4127,90.0,55,4970,系統進場訊號（重返進場）
2026-08-18,賣出,3605,121.0,53,6374,出場:盤後跌破箱頂下緣5%緩衝價(121.00)，破(124.92)
2026-08-20,買進,2850,166.0,30,5000,系統進場訊號（重返進場）
2026-08-20,買進,3229,56.9,87,4970,系統進場訊號（重返進場）
2026-08-24,賣出,4127,85.3,55,4657,出場:盤後破固定停損價(85.30)，破(87.30)
2026-08-24,買進,3006,282.0,17,4814,系統進場訊號（重返進場）
2026-08-25,賣出,3229,57.4,87,4959,出場:盤後跌破箱頂下緣5%緩衝價(57.40)，破(58.71)
2026-08-25,賣出,3006,270.0,17,4556,出場:盤後破固定停損價(270.00)，破(273.54)
2026-08-25,買進,2464,193.0,25,4845,系統進場訊號（重返進場）
2026-08-25,買進,2491,42.55,117,4998,系統進場訊號（重返進場）
2026-08-26,買進,6213,583.0,8,4684,系統進場訊號（重返進場）
2026-08-26,買進,8039,320.5,15,4828,系統進場訊號（重返進場）
2026-08-27,賣出,6213,563.0,8,4470,出場:盤後破固定停損價(563.00)，破(565.51)
2026-08-27,買進,6187,1430.0,3,4310,系統進場訊號（重返進場）
2026-08-27,買進,6913,158.0,31,4918,系統進場訊號（重返進場）
2026-08-28,賣出,2850,160.5,30,4781,出場:盤後破固定停損價(160.50)，破(161.02)
2026-08-28,賣出,6187,1365.0,3,4063,出場:盤後破固定停損價(1365.00)，破(1387.10)
2026-08-31,賣出,2464,180.0,25,4466,出場:盤後破固定停損價(180.00)，破(187.21)
2026-08-31,賣出,2491,50.8,117,5906,出場:盤後跌破箱頂下緣5%緩衝價(50.80)，破(53.58)
2026-08-31,買進,7711,535.0,9,4835,系統進場訊號（重返進場）
2026-09-01,賣出,8039,319.0,15,4751,出場:盤後跌破箱頂下緣5%緩衝價(319.00)，破(326.32)
2026-09-01,買進,2897,10.6,471,5013,系統進場訊號（重返進場）
